region,cluster
Алтайский край,2
Амурская область,0
Архангельская область без Ненецкого АО,0
Астраханская область,0
Белгородская область,0
Брянская область,0
Владимирская область,0
Волгоградская область,0
Вологодская область,0
Воронежская область,0
Еврейская автономная область,2
Забайкальский край,2
Ивановская область,0
Иркутская область,0
Кабардино-Балкарская Республика,2
Калининградская область,0
Калужская область,0
Камчатский край,1
Карачаево-Черкесская Республика,2
Кемеровская область,0
Кировская область,0
Костромская область,0
Краснодарский край,0
Красноярский край,0
Курганская область,2
Курская область,0
Ленинградская область,0
Липецкая область,0
Магаданская область,1
Москва,1
Московская область,0
Мурманская область,1
Ненецкий автономный округ,1
Нижегородская область,0
Новгородская область,0
Новосибирская область,0
Омская область,0
Оренбургская область,0
Орловская область,0
Пензенская область,0
Пермский край,0
Приморский край,0
Псковская область,0
Республика Адыгея,0
Республика Алтай,2
Республика Башкортостан,0
Республика Бурятия,0
Республика Дагестан,0
Республика Ингушетия,2
Республика Калмыкия,2
Республика Карелия,0
Республика Коми,0
Республика Крым,2
Республика Марий Эл,2
Республика Мордовия,2
Республика Саха (Якутия),1
Республика Северная Осетия-Алания,0
Республика Татарстан,0
Республика Тыва,2
Республика Хакасия,2
Ростовская область,0
Рязанская область,0
Самарская область,0
Санкт-Петербург,0
Саратовская область,0
Сахалинская область,1
Свердловская область,0
Севастополь,0
Смоленская область,0
Ставропольский край,0
Тамбовская область,0
Тверская область,0
Томская область,0
Тульская область,0
Тюменская область без округов,0
Удмуртская Республика,0
Ульяновская область,0
Хабаровский край,0
Ханты-Мансийский автономный округ - Югра,1
Челябинская область,0
Чеченская Республика,2
Чувашская Республика,2
Чукотский автономный округ,1
Ямало-Ненецкий автономный округ,1
Ярославская область,0
