region,population,per_capita,nominal_salary,child_mortality,disabled_18_60,alco,drug,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,gross_regional_product,living_area,bad_conditions,no_funds,birth_rate,poverty_percent,poor_children,poor_aged,poor_employable,regional_production,retail,living_wage
Алтайский край,2348500.0,22805.0,25499.6,0.6581159225389994,63898.25,91.36666666666667,17.4,111208.65,190.96666666666667,1369.9,5.800000000000001,253174.02000000002,18.0,0.3,0.8642000000000001,1013.2084309133489,17.56,31.4,9.2,59.4,340.422656557377,149056.0,10904.0
Амурская область,797820.6,31385.8,42636.8,0.5217234865521273,26414.25,99.0,20.666666666666664,83665.5,365.5,466.0,8.850000000000001,451290.98,17.3,1.3,1.0731000000000002,1114.7368217867527,16.04,38.4,4.7,56.9,401.7846043960258,216919.0,14331.0
Архангельская область без Ненецкого АО,1111159.6,32264.8,45222.2,0.5362473740463642,28022.25,60.0,7.3,100714.75,421.2,689.4,10.350000000000001,472009.73999999993,16.9,1.4,1.2998,976.7453748318424,13.26,28.5,7.2,64.3,565.4392042421268,228083.8,14507.0
Астраханская область,1014970.6,23913.0,33140.0,0.6019201751040509,20192.0,24.2,0.44999999999999996,63367.850000000006,332.53333333333336,734.15,5.85,497990.36000000004,19.2,0.8,2.9027999999999996,1188.349692099456,15.559999999999999,42.1,5.5,52.4,772.546691643088,170492.0,11287.0
Белгородская область,1549889.4,31222.4,32013.2,0.4761772929874588,65540.75,44.20000000000001,2.3666666666666667,72686.75,126.93333333333334,396.29999999999995,2.95,578765.0599999999,17.8,0.7,0.384,932.2213572142631,7.68,44.8,12.9,42.3,1158.7740209688511,216128.2,10403.0
Брянская область,1209986.2,26533.0,27343.2,0.5795119141890434,40511.5,94.10000000000001,10.0,77822.6,180.79999999999998,451.9,7.15,304715.44,24.1,0.1,0.0,918.423697724817,13.919999999999998,44.8,3.7,51.6,423.38249415571846,206798.0,11760.0
Владимирская область,1377865.0,24147.6,30177.2,0.5746670264950073,41417.0,69.16666666666667,10.466666666666667,93964.65,211.79999999999998,577.8,19.35,357923.42000000004,16.1,0.2,0.15300000000000002,914.3566314551861,13.2,34.8,4.8,60.4,755.7878068352125,162836.2,11800.0
Волгоградская область,2520192.0,23058.2,30948.6,0.4915861506851641,66861.75,57.2,8.0,64322.45,139.5,509.45000000000005,3.4,361840.4,17.9,1.0,0.3993,934.7065620397176,13.24,46.2,4.0,49.8,763.9703792369788,154123.8,10604.0
Вологодская область,1175278.4,27472.0,35668.4,0.5997638724911453,32026.75,55.0,5.433333333333333,90274.5,197.53333333333333,518.05,1.65,500144.7,16.9,1.1,0.7072,1081.0204628962806,13.38,43.1,2.3,54.6,1232.5416721944348,158822.8,12438.0
Воронежская область,2330935.8,30634.2,31111.2,0.4444568421248384,79213.5,82.23333333333333,21.933333333333334,54782.65,95.26666666666665,622.5,4.2,405518.16000000003,19.9,0.9,0.5680000000000001,922.7795977907243,8.94,28.5,2.3,69.2,527.2298408926579,234238.2,9834.0
Еврейская автономная область,162113.8,25218.8,38890.6,1.0861382944402622,5186.75,114.60000000000001,68.4,68677.5,675.8333333333334,605.45,20.65,345560.42000000004,13.8,0.9,0.0,1147.21880555511,24.2,34.8,10.8,54.4,292.05083311846374,151120.0,16336.0
Забайкальский край,1072057.2,24316.4,39862.0,0.620883195440071,32821.5,87.16666666666667,8.166666666666666,67719.95,219.5666666666667,498.85,22.700000000000003,321327.44000000006,17.1,1.8,1.5903,1283.0098990986676,21.580000000000002,33.4,7.2,59.3,351.19895295698774,154301.0,13518.0
Ивановская область,1013793.8,25022.0,25595.8,0.44630160362291893,26326.75,82.16666666666667,5.733333333333333,88113.7,272.6333333333333,550.85,2.2,232553.0,18.1,1.5,0.5360000000000001,901.741557306821,14.360000000000003,47.5,5.0,47.5,381.845289249155,163936.4,11535.0
Иркутская область,2402970.4,24865.6,42503.0,0.6597616805740445,93681.5,90.60000000000001,17.599999999999998,97599.6,226.13333333333333,586.4000000000001,4.5,576993.58,16.3,1.6,1.9608,1281.7053426875336,18.22,41.5,7.0,51.5,998.0193576250462,146148.0,12745.0
